1540 - main - ERROR - --(95, 26), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 745
1631 - main - ERROR - --(95, 26), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 1234
1658 - main - ERROR - --(95, 26), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 3798
1762 - main - ERROR - --(95, 26), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 2614
1887 - main - ERROR - --(95, 26), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 4845
1960 - main - ERROR - --(101, 26), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 1524
2013 - main - ERROR - --(95, 26), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 6088
2056 - main - ERROR - --(101, 26), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 383
2140 - main - ERROR - --(101, 26), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 4315
2157 - main - ERROR - --(101, 26), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 1651
2335 - main - ERROR - --(101, 26), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 4381
2367 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 1
2407 - main - ERROR - --(101, 26), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 6067
2420 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 1
2503 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 1215
2549 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 1771
2574 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 1128
2634 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 992
2662 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 1060
2744 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 1130
2820 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 2908
2835 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 2348
2970 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 4291
3045 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 3804
3106 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 1771
3117 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 1215
3139 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 1
3193 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 1
3337 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 4203
3348 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 3509
